District,Population,Area(km^2)
Bagerhat,1476090,3959
Bandarban,388335,4479
Barguna,892781,1831
Barisal,2324310,2785
Bhola,1776795,3403
Bogura,3400874,2899
Brahamanbaria,2840498,1881
Chandpur,2416018,1645
Chapainawabganj,1647521,1703
Chattogram,7616352,5283
Chuadanga,1129015,1174
Cox's Bazar,2289990,2492
Cumilla,5387288,3146
Dhaka,12043977,1464
Dhaka City,18900000,306
Dinajpur,2990128,3444
Faridpur,1912969,2053
Feni,1437371,990
Gaibandha,2379255,2115
Gazipur,3403912,1806
Gopalganj,1172415,1469
Habiganj,2089001,2637
Jamalpur,2292674,2115
Jessore,2764547,2607
Jhalokati,682669,707
Jhenaidah,1771304,1965
Joypurhat,913768,1012
Khagrachhari,613917,2749
Khulna,2318527,4394
Kishoreganj,2911907,2689
Kurigram,2069273,2245
Kushtia,1946838,1609
Lakshmipur,1729188,1440
Lalmonirhat,1256099,1247
Madaripur,1165952,1126
Magura,918419,1039
Manikganj,1392867,1384
Maulvibazar,1919062,2799
Meherpur,655392,752
Munshiganj,1445660,1004
Mymensingh,5110272,4395
Naogaon,2600157,3436
Narail,721668,968
Narayanganj,2948217,684
Narsingdi,2224944,1150
Natore,1706673,1900
Netrakona,2229642,2794
Nilphamari,1834231,1547
Noakhali,3108083,3686
Pabna,2523179,2376
Panchagarh,987644,1405
Patuakhali,1535854,3221
Pirojpur,1113257,1278
Rajbari,1049778,1092
Rajshahi,2595197,2425
Rangamati,595979,6116
Rangpur,2881086,2401
Satkhira,1985959,3817
Shariatpur,1155824,1174
Sherpur,1358325,1365
Sirajganj,3097489,2402
Sunamganj,2467968,3747
Sylhet,3434188,3452
Tangail,3605083,3414
Thakurgaon,1390042,1782
total,12043977,147570
